courseId,createdDate,updatedDate,name,year,primarySkillId,primarySkillName,locationName,alias,completed,description,descriptionUrl,planned,courseStartDate,courseEndDate,fullName,registrationEndDate,inviteOnly
19,2020-02-11 08:40:58.387803,2020-09-10 18:31:03.311121,Android 2020,,android-kotlin,Android Kotlin,,android-2020,f,Android 2020,,f,2020-02-17 08:40:50.115+00,2020-06-01 08:40:51.765+00,Rolling Scopes Android 2020,2020-03-08 09:34:23.882+00,f
12,2019-08-29 07:26:02.025829,2019-10-25 17:20:30.9813,RS-ST 2019 Q1,,javascript,JavaScript,,rs-st-2019-q1,t,RS Short Track 2019 Q1,,f,2019-04-08 07:23:45.643+00,2019-07-10 07:23:45.643+00,Rolling Scopes School 2019 Q1: Short Track,,t
14,2019-10-24 10:00:46.296231,2020-02-07 08:51:36.59706,ST 2019 Q3,,javascript,JavaScript,,st-2019-q3,t,Short Track 2019Q3,,f,2019-10-28 09:59:47.095+00,2020-01-31 09:59:47.095+00,Rolling Scopes School: Short Track 2019 Q3,2019-10-23 10:00:06.576+00,t
11,2019-08-27 07:36:13.565873,2020-03-13 15:39:41.477995,RS 2019 Q3,,javascript,JavaScript,,rs-2019-q3,t,RS 2019 Q3,,f,2019-09-09 07:35:20.981+00,2020-01-31 07:35:20.981+00,Rolling Scopes School 2019 Q3,,f
17,2020-01-27 12:42:50.862147,2020-04-22 05:57:56.400589,RSS Angular 2020 Q1,,javascript,JavaScript,,angular-2020-Q1,t, Курс по Angular,,f,2020-02-05 12:42:29.294+00,2020-03-18 12:42:31.38+00,RSS Angular 2020 Q1,2020-02-09 12:42:36.062+00,t
27,2020-02-17 07:47:16.72,2020-08-17 07:10:17.024397,JS Fundamentals,,javascript,JavaScript,,js-fundamentals,f,JS Fundamentals,,f,2020-05-01 09:06:34.293+00,2020-07-31 09:06:39.744+00,JS Fundamentals,,t
20,2020-02-17 07:47:16.720205,2020-03-23 11:31:46.894703,The Rolling Scopes Poland,,javascript,JavaScript,,rss-pl-2020-q1,f,"Javascript/Front-end Mentoring Program in Poland.
Free | Online | in English",,f,2020-03-05 07:46:38.048+00,2020-07-31 06:46:42.768+00,JS/FE Mentoring Program in Poland,2020-03-22 07:47:02.88+00,t
13,2019-10-21 08:05:31.068833,2020-08-24 11:56:19.468768,RS 2020 Q1,,javascript,JavaScript,,rs-2020-q1,t,"Javascript / Frontend Курс.
Вводное занятие - 2 февраля
Организационный вебинар начнется 2 февраля в 12:00 по минскому времени (GMT+3). Мы расскажем о процессе обучения в RS School и выдадим задания для первого этапа обучения.

Вебинар будет транслироваться на канале https://www.youtube.com/c/rollingscopesschool.
Рекомендуем подписаться на канал и нажать колокольчик, чтобы не пропустить начало трансляции. 

Если у вас не будет возможности присоединиться к онлайн-трансляции, не переживайте! 
Запись вебинара будет размещена на канале в открытом доступе.

Описание тренинга
Основной сайт: https://rs.school/js/

Подробная информация о школе:  https://docs.rs.school",,f,2020-02-02 09:01:56.398+00,2020-07-31 08:01:56.398+00,Rolling Scopes School 2020 Q1: JavaScript/Front-end,2020-03-31 08:40:46.24+00,f
21,2020-02-18 08:35:17.347051,2020-07-27 09:04:06.867118,NodeJS 2020 Q1,,nodejs,Node.js,,nodejs-2020-q1,t,NodeJS 2020 Q1	,,f,2020-03-23 08:34:47.525+00,2020-04-30 07:34:53.383+00,Rolling Scopes NodeJS 2020 Q1	,2020-03-29 07:35:00.935+00,t
29,2020-01-27 06:15:21.814,2020-07-30 07:08:19.192459,RSS React 2020 Q3,,javascript,JavaScript,,react-2020-Q3,f,Курс по React/Redux,,f,2020-07-27 11:54:03.727+00,2020-09-16 11:54:04.46+00,RSS React 2020 Q3,2020-08-08 11:54:10.218+00,f
28,2020-01-27 12:42:50.862,2020-09-30 10:19:17.632882,RSS Angular 2020 Q3,,javascript,JavaScript,,angular-2020-Q3,t,Курс по Angular,,f,2020-07-27 11:49:08.068+00,2020-09-16 11:49:24.921+00,RSS Angular 2020 Q3,2020-08-08 11:49:30.256+00,f
